PropertyID,Year Transferred to LB,Certified delinquent year,Amount,notes
36-065-0800.000,,,,
36-070-0400.000,,,,
36-074-0909.000,,,,
36-076-0800.001,,,,
36-076-1000.000,,,,
36-076-1100.000,,,,
36-076-1800.000,,,,
36-081-0900.000,,,,
36-086-0600.000,,,,
36-092-1300.000,,,,
36-092-1500.001,,,,
36-119-0900.000,,,,
36-124-0100.000,,,,
36-124-0900.000,,,,
37-021-0900.000,,,,
